CustomerID,Gender,Age,Annual_Income,Spending_Score,Gender_Encoded
1,Male,-1.4210029051351947,-1.734646247082269,-0.4337131141070613,2
2,Male,-1.2778288088999106,-1.734646247082269,1.1927110637944183,2
3,Female,-1.3494158570175527,-1.696572361062026,-1.7116178253153667,1
4,Female,-1.1346547126646265,-1.696572361062026,1.0378135230418963,1
5,Female,-0.5619583277234902,-1.658498475041783,-0.39498872891893083,1
6,Female,-1.2062417607822686,-1.658498475041783,0.9990891378537659,1
7,Female,-0.275610135252922,-1.62042458902154,-1.7116178253153667,1
8,Female,-1.1346547126646265,-1.62042458902154,1.696128071240114,1
9,Male,1.8004142601586974,-1.582350703001297,-1.8277909808797579,2
10,Female,-0.6335453758411322,-1.582350703001297,0.844191597101244,1
11,Male,2.0151754045116235,-1.582350703001297,-1.4018227438103228,2
12,Female,-0.275610135252922,-1.582350703001297,1.8897499971807665,1
13,Female,1.3708919714528451,-1.5442768169810543,-1.3630983586221925,1
14,Female,-1.0630676645469845,-1.5442768169810543,1.0378135230418963,1
15,Male,-0.1324360390176379,-1.5442768169810543,-1.4405471289984533,2
16,Male,-1.2062417607822686,-1.5442768169810543,1.1152622934181573,2
17,Female,-0.275610135252922,-1.5062029309608114,-0.5886106548595832,1
18,Male,-1.3494158570175527,-1.5062029309608114,0.6118452859724612,2
19,Male,0.9413696827469927,-1.4300551589203254,-0.820956965988366,2
20,Female,-0.275610135252922,-1.4300551589203254,1.851025611992636,1
21,Male,-0.275610135252922,-1.3919812729000824,-0.5886106548595832,2
22,Male,-0.9914806164293424,-1.3919812729000824,0.8829159822893745,2
23,Female,0.5118473940411405,-1.3539073868798395,-1.7503422105034971,1
24,Male,-0.5619583277234902,-1.3539073868798395,0.8829159822893745,2
25,Female,1.084543778982277,-1.2396857288191105,-1.4018227438103228,1
26,Male,-0.7051324239587743,-1.2396857288191105,1.2314354489825485,2
27,Female,0.4402603459234985,-1.2396857288191105,-0.7047838104239745,1
28,Male,-0.275610135252922,-1.2396857288191105,0.4182233600318089,2
